Unnamed: 0,movie_id,title,genres,year,clean_title,genres_list,text_for_bert,cluster
0,1,Toy Story (1995),Animation|Children's|Comedy,1995.0,Toy Story,"['Animation', ""Children's"", 'Comedy']",toy story animation childrens comedy,4
1,2,Jumanji (1995),Adventure|Children's|Fantasy,1995.0,Jumanji,"['Adventure', ""Children's"", 'Fantasy']",jumanji adventure childrens fantasy,4
2,3,Grumpier Old Men (1995),Comedy|Romance,1995.0,Grumpier Old Men,"['Comedy', 'Romance']",grumpier old men comedy romance,11
3,4,Waiting to Exhale (1995),Comedy|Drama,1995.0,Waiting to Exhale,"['Comedy', 'Drama']",waiting exhale comedy drama,7
4,5,Father of the Bride Part II (1995),Comedy,1995.0,Father of the Bride Part II,['Comedy'],father bride part ii comedy,2
5,6,Heat (1995),Action|Crime|Thriller,1995.0,Heat,"['Action', 'Crime', 'Thriller']",heat action crime thriller,8
6,7,Sabrina (1995),Comedy|Romance,1995.0,Sabrina,"['Comedy', 'Romance']",sabrina comedy romance,11
7,8,Tom and Huck (1995),Adventure|Children's,1995.0,Tom and Huck,"['Adventure', ""Children's""]",tom huck adventure childrens,4
8,9,Sudden Death (1995),Action,1995.0,Sudden Death,['Action'],sudden death action,14
9,10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,GoldenEye,"['Action', 'Adventure', 'Thriller']",goldeneye action adventure thriller,8
10,11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"American President, The","['Comedy', 'Drama', 'Romance']",american president comedy drama romance,11
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,Dracula: Dead and Loving It,"['Comedy', 'Horror']",dracula dead loving comedy horror,9
12,13,Balto (1995),Animation|Children's,1995.0,Balto,"['Animation', ""Children's""]",balto animation childrens,4
13,14,Nixon (1995),Drama,1995.0,Nixon,['Drama'],nixon drama,3
14,15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,Cutthroat Island,"['Action', 'Adventure', 'Romance']",cutthroat island action adventure romance,11
15,16,Casino (1995),Drama|Thriller,1995.0,Casino,"['Drama', 'Thriller']",casino drama thriller,8
16,17,Sense and Sensibility (1995),Drama|Romance,1995.0,Sense and Sensibility,"['Drama', 'Romance']",sense sensibility drama romance,11
17,18,Four Rooms (1995),Thriller,1995.0,Four Rooms,['Thriller'],four rooms thriller,3
18,19,Ace Ventura: When Nature Calls (1995),Comedy,1995.0,Ace Ventura: When Nature Calls,['Comedy'],ace ventura nature calls comedy,3
19,20,Money Train (1995),Action,1995.0,Money Train,['Action'],money train action,12
20,21,Get Shorty (1995),Action|Comedy|Drama,1995.0,Get Shorty,"['Action', 'Comedy', 'Drama']",get shorty action comedy drama,7
21,22,Copycat (1995),Crime|Drama|Thriller,1995.0,Copycat,"['Crime', 'Drama', 'Thriller']",copycat crime drama thriller,8
22,23,Assassins (1995),Thriller,1995.0,Assassins,['Thriller'],assassins thriller,14
23,24,Powder (1995),Drama|Sci-Fi,1995.0,Powder,"['Drama', 'Sci-Fi']",powder drama scifi,5
